x_position (mm), y_radius (mm)
-1.306302962110560486e+02,2.500000000000000000e+01
-3.063029621105604861e+01,2.500000000000000000e+01
-3.063029621105604861e+01,2.500000000000000000e+01
-3.021704646856791854e+01,2.499145758387301086e+01
-2.980450275633272383e+01,2.496584493006669803e+01
-2.939336989836257175e+01,2.492320579737044994e+01
-2.898435030824870751e+01,2.486361303402722456e+01
-2.857814278909970795e+01,2.478716845327354434e+01
-2.817544133964805653e+01,2.469400265939330552e+01
-2.777693396856499675e+01,2.458427482458252911e+01
-2.738330151900921194e+01,2.445817241700634526e+01
-2.699521650541775131e+01,2.431591088051278859e+01
-2.661334196452635226e+01,2.415773326655057218e+01
-2.623833032258234610e+01,2.398390981891978768e+01
-2.587082228068531364e+01,2.379473751206489140e+01
-2.551144572016004020e+01,2.359053954369885275e+01
-2.516081462983177985e+01,2.337166478262528457e+01
-2.481952805703666343e+01,2.313848717270195010e+01
-2.448816908415937021e+01,2.289140509396393597e+01
-2.416730383244664182e+01,2.263084068199806609e+01
-2.385748049479863653e+01,2.235723910673131698e+01
-2.355922839919057310e+01,2.207106781186547551e+01
-2.355922839919057310e+01,2.207106781186547551e+01
-1.347913028172434835e+01,1.199096969439925076e+01
-1.347913028172434835e+01,1.199096969439925076e+01
-1.253218707593751446e+01,1.108957947418783263e+01
-1.158524387015068235e+01,1.027714436721067237e+01
-1.063830066436385025e+01,9.550438086592906828e+00
-9.691357458577016359e+00,8.906234345459676405e+00
-8.744414252790182474e+00,8.341306856936117953e+00
-7.797471047003350364e+00,7.852429334147374540e+00
-6.850527841216517366e+00,7.436375490218583018e+00
-5.903584635429684369e+00,7.089919038274883789e+00
-4.956641429642850483e+00,6.809833691441412817e+00
-4.009698223856018373e+00,6.592893162843314059e+00
-3.062755018069186264e+00,6.435871165605722588e+00
-2.115811812282352378e+00,6.335541412853779697e+00
-1.168868606495518492e+00,6.288677617712624013e+00
-2.219254007086863822e-01,6.292053493307395051e+00
7.250178050781457273e-01,6.342442752763230551e+00
1.671961010864979613e+00,6.436619109205269140e+00
2.618904216651813499e+00,6.571356275758652998e+00
3.565847422438647385e+00,6.743427965548518976e+00
4.512790628225478606e+00,6.949607891700008366e+00
4.512790628225478606e+00,6.949607891700007478e+00
9.689608687617882410e+00,8.080674272868369812e+00
1.156251477315707099e+01,8.443213647050678006e+00
1.331181718541020231e+01,8.738642388049116860e+00
1.504618001652802306e+01,8.989076601419515811e+00
1.681255522035445082e+01,9.201175448256735834e+00
1.863869687612943693e+01,9.376293712984018924e+00
2.054443687381954220e+01,9.513174056549480895e+00
2.254591313601649460e+01,9.608920449976467992e+00
2.465749798104803148e+01,9.659398464842837484e+00
